DESTINO;ORIGEN; CANTI ; FOBDOL ; FOBPES 
BHR;BOG;300;96;405.829,00
BHR;BOG;500;337;1.401.461,00
BHR;BOG;220;83;351.718,00
BHR;BOG;3;52;219.824,00
BHR;BOG;3.612,00;2.210,00;9.311.310,00
BHR;BOG;3.455,00;2.051,00;8.625.854,00
BHR;BOG;240;67;284.388,00
BHR;BOG;1.010,00;214;941.377,00
BHR;BOG;4;17;73.339,00
BHR;BOG;12;34;146.974,00
BHR;BOG;6;12;52.403,00
BHR;BOG;12;64;270.400,00
BHR;BOG;174;457;1.927.218,00
BHR;BOG;15;76;322.256,00
BHR;BOG;9;43;182.738,00
BHR;BOG;18.000,00;4.410,00;18.751.716,00
BHR;BOG;18.700,00;2.949,00;11.954.538,00
BHR;BOG;11.850,00;1.422,00;5.764.446,00
BHR;BOG;54;54;227.552,00
BHR;BOG;3.400,00;1.022,00;4.302.306,00
BHR;BOG;10.625,00;2.656,00;11.213.067,00
BHR;BOG;101.225,00;16.090,00;66.993.837,00
BHR;BOG;750;90;376.830,00
BHR;BOG;2.600,00;520;2.177.245,00
BHR;BOG;2.920,00;807;3.381.429,00
BHR;BOG;192;2.429,00;10.170.289,00
BRB;BOG;26.600,00;4.567,00;19.189.774,00
BRB;BOG;27.000,00;997;4.191.194,00
BRB;BOG;30.000,00;870;3.658.524,00
BRB;BOG;21.000,00;1.794,00;7.537.544,00
BRB;BOG;280;5.325,00;22.480.801,00
BRB;BOG;105;3.960,00;16.319.427,00
BRB;BOG;431;18.254,00;75.218.621,00
BRB;BOG;959;12.246,00;50.462.431,00
BRB;BOG;36;2.741,00;11.294.866,00
BRB;BOG;723;7.674,00;31.622.462,00
BEL;BOG;60;236;990.646,00
BEL;BOG;36;242;1.016.689,00
BEL;BOG;380;2.582,00;10.811.278,00
BEL;BOG;99;302;1.265.649,00
BEL;BOG;139;1.081,00;4.528.209,00
BEL;BOG;207;1.223,00;5.121.006,00
BEL;BOG;350;1.417,00;5.935.086,00
BEL;BOG;1;40;164.824,00
BEL;BOG;45;16.455,00;72.185.780,00
BEL;BOG;1.400,00;7.524,00;31.974.818,00
BEL;BOG;1.160,00;8.700,00;36.959.225,00
BEL;BOG;140;1.190,00;4.832.387,00
